Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
651,Rob Refsnyder,31,BOS,AL,36,115,98,18,32,8,0,4,14,0,1,12,24,.327,.409,.531,.939,161,52,1,3,0,2,0,9H/8D7,refsnro01
652,Zach Reks*,28,TEX,AL,16,34,34,3,9,1,0,0,3,0,1,0,10,.265,.265,.294,.559,62,10,0,0,0,0,0,7/H9,reksza01
653,Anthony Rendon,32,LAA,AL,45,188,162,15,37,10,0,5,24,2,0,23,32,.228,.324,.383,.707,101,62,7,1,0,2,0,5/H,rendoan01
654,Hunter Renfroe,30,MIL,NL,85,351,318,43,78,14,1,22,50,1,1,25,85,.245,.306,.503,.809,124,160,9,4,1,3,0,9/D3,renfrhu01
655,Luis Rengifo#,25,LAA,AL,86,333,316,30,86,18,3,9,34,5,1,13,53,.272,.307,.434,.741,108,137,5,3,1,0,0,456/H97,rengilu01
656,Franmil Reyes,26,TOT,MLB,80,323,304,29,70,12,2,11,35,2,0,15,115,.230,.266,.391,.658,87,119,9,1,0,3,0,D9/H7,reyesfr01
657,Franmil Reyes,26,CLE,AL,70,280,263,24,56,9,0,9,28,2,0,14,104,.213,.254,.350,.603,72,92,8,1,0,2,0,D9/H7,reyesfr01
658,Franmil Reyes,26,CHC,NL,10,43,41,5,14,3,2,2,7,0,0,1,11,.341,.349,.659,1.007,174,27,1,0,0,1,0,D,reyesfr01
659,Pablo Reyes,28,MIL,NL,4,15,14,1,4,0,0,0,0,0,0,1,2,.286,.333,.286,.619,78,4,0,0,0,0,0,/65,reyespa01
660,Victor Reyes#,27,DET,AL,62,214,203,15,56,11,1,1,19,2,2,9,50,.276,.308,.355,.663,92,72,4,1,0,1,0,9/7H8D,reyesvi01
661,Bryan Reynolds#,27,PIT,NL,104,435,382,55,100,14,3,20,46,5,3,44,100,.262,.347,.471,.818,128,180,8,7,0,2,3,*8D/H,reynobr01
662,Matt Reynolds,31,TOT,NL,76,225,203,30,50,8,1,3,20,5,0,20,66,.246,.316,.340,.655,78,69,6,1,0,1,0,46H9/53718D,reynoma03
663,Matt Reynolds,31,NYM,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/9,reynoma03
664,Matt Reynolds,31,CIN,NL,75,225,203,30,50,8,1,3,20,5,0,20,66,.246,.316,.340,.655,78,69,6,1,0,1,0,46H9/53718D,reynoma03
